[23-May-2026 05:37:45 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:37:45 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:37:45 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:37:45 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:37:53 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:37:53 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:37:53 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:37:53 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:38:10 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:38:10 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:38:10 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:38:10 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:38:34 UTC] Method: GET, URI: /api/users/profile, Params: api/users/profile
[23-May-2026 05:38:36 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:38:36 UTC] Method: GET, URI: /api/reports/stock-levels, Params: api/reports/stock-levels
[23-May-2026 05:38:39 UTC] Method: GET, URI: /api/reports/stock-levels, Params: api/reports/stock-levels
[23-May-2026 05:38:40 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:39:08 UTC] Method: POST, URI: /api/auth/register, Params: api/auth/register
[23-May-2026 05:39:36 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:39:36 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:39:36 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:39:36 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:40:10 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:40:10 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:40:10 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:40:10 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:40:15 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:40:15 UTC] Method: GET, URI: /api/reports/stock-levels, Params: api/reports/stock-levels
[23-May-2026 05:40:17 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:40:19 UTC] Method: GET, URI: /api/reports/stock-levels, Params: api/reports/stock-levels
[23-May-2026 05:40:19 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:40:20 UTC] Method: GET, URI: /api/users/profile, Params: api/users/profile
[23-May-2026 05:44:40 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:44:40 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:44:40 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:44:46 UTC] Method: POST, URI: /api/auth/login, Params: api/auth/login
[23-May-2026 05:44:46 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:44:46 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:44:46 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:44:49 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:44:50 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:44:52 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:44:59 UTC] Method: GET, URI: /api/reports/stock-levels, Params: api/reports/stock-levels
[23-May-2026 05:45:01 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:45:02 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:45:30 UTC] Method: POST, URI: /api/products, Params: api/products
[23-May-2026 05:45:45 UTC] Method: POST, URI: /api/products, Params: api/products
[23-May-2026 05:46:57 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:47:20 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:47:20 UTC] Method: GET, URI: /api/reports/low-stock, Params: api/reports/low-stock
[23-May-2026 05:47:20 UTC] Method: GET, URI: /api/admin/suppliers, Params: api/admin/suppliers
[23-May-2026 05:47:22 UTC] Method: GET, URI: /api/products, Params: api/products
[23-May-2026 05:47:38 UTC] Method: POST, URI: /api/products, Params: api/products
